Judul_Film,Tahun,Genre
Suamiku Lukaku,2026,Drama
Children of Heaven,2026,Anak-anak
Gudang Merica,2026,Horor
Keluarga Suami Adalah Hama,2026,Drama
Kamu Harus Mati,2026,Misteri
Silent Dance: Tarian Jiwa-jiwa yang Merdeka,2026,Drama
Semua Akan Baik-baik Saja,2026,Drama
Yang Lain Boleh Hilang Asal Kau Jangan,2026,Drama
Tumbal Proyek,2026,Horor
Crocodile Tears,2026,Drama
The Bell: Panggilan untuk Mati,2026,Horor
'Ain,2026,Horor
Shaka Oh Shaka,2026,Drama
Ikatan Darah,2026,Mendebarkan atau Menegangkan
Kupeluk Kamu Selamanya,2026,Drama
Dilan ITB 1997,2026,Drama
Songko,2026,Horor
Para Perasuk,2026,Drama
Kupilih Jalur Langit,2026,Drama
Tiba-tiba Setan,2026,Horor
Dalam Sujudku,2026,Drama
Ghost in the Cell,2026,Horor
Warung Pocong,2026,Horor
"Ayah, Ini Arahnya ke Mana, Ya?",2026,Keluarga
Yohanna,2026,Drama
The Hostage’s Hero,2026,Drama
Aku Harus Mati,2026,Horor
Senin Harga Naik,2026,Drama
Suzzanna: Santet Dosa di Atas Dosa,2026,Horor
Danur: the Last Chapter,2026,Horor
Na Willa,2026,Anak-anak
Pelangi di Mars,2026,Anak-anak
Tunggu Aku Sukses Nanti,2026,Keluarga
Setannya Cuan,2026,Horor
Setan Alas!,2026,Horor
Rajah,2026,Mendebarkan atau Menegangkan
Titip Bunda di Surga-Mu,2026,Drama
Lift,2026,Misteri
Asrama Putri,2026,Horor
"Antara Mama, Cinta, dan Surga: Bahasa Cinta Nommensen",2026,Drama
Taneuh Kalaknat,2026,Horor
Pocong Merah,2026,Horor
Waru,2026,Horor
Rumah Tanpa Cahaya,2026,Drama
Jangan Seperti Bapak,2026,Drama
AIU-EO Macam Betool Aja,2026,Drama
Andaikan Kau Datang Kembali,2026,Misteri
Sadali,2026,Drama
Balas Budi,2026,Drama
Check Out Sekarang Pay Later (Caper),2026,Drama
Teman Tegar Maira: Whisper from Papua,2026,Keluarga
Ahlan Singapore,2026,Drama
Mattaro Janci,2026,Drama
"Tuhan, Benarkah Kau Mendengarkan Aku?",2026,Drama
Kuyank: Saranjana the prequel,2026,Horor
Kafir: Gerbang Sukma,2026,Horor
Tolong Saya! (Dowajuseyo),2026,Horor
Surat Untuk Masa Mudaku,2026,Drama
Esok Tanpa Ibu,2026,Drama
Sebelum Dijemput Nenek,2026,Horor
Sengkolo: Petaka Satu Suro,2026,Horor
Mencadin 2: Tamu Mayit,2026,Horor
Penerbangan Terakhir,2026,Drama
Bidadari Surga,2026,Drama
Penunggu Rumah: Buto Ijo,2026,Horor
Alas Roban,2026,Horor
Lavender Marriage,2026,Drama
The Period of Her,2026,Drama
Uang Passolo,2026,Drama
Malam 3 Yasinan,2026,Horor
Suka Duka Tawa,2026,Drama
Musuh dalam Selimut,2026,Drama
Modual Nekad,2025,Drama
Dusun Mayit,2025,Horor
Janur Ireng: Sewu Dino the Prequel,2025,Horor
Comic 8 Revolution: Santet K4bin3t,2025,Horor
Patah Hati yang Kupilih,2025,Drama
Timur,2025,Drama
Mertua Ngeri Kali,2025,Drama
Mengejar Restu,2025,Religi
Qorin 2,2025,Horor
Mimpi Keluarga Sempurna,2025,Drama
Gelap Mata,2025,Mendebarkan atau Menegangkan
Lupa Daratan,2025,Drama
Nia,2025,Drama
Wasiat Warisan,2025,Drama
Ozora: Penganiayaan Brutal Penguasa Jaksel,2025,Mendebarkan atau Menegangkan
Riba,2025,Horor
Legenda Kelam Malin Kundang,2025,Mendebarkan atau Menegangkan
Air Mata Mualaf,2025,Religi
Agak Laen: Menyala Pantiku!,2025,Drama
Summa: Dendam Perempuan Sinting,2025,Horor
Keadilan,2025,Kejahatan
Leak 2: Jimat Dadong,2025,Horor
Danyang Wingit Jumat Kliwon,2025,Horor
…belum ada judul,2025,Drama
Tak Kenal Maka Taaruf,2025,Religi
Sampai Titik Terakhirmu,2025,Drama
Dopamin,2025,Drama
Pesugihan Sate Gagak,2025,Horor
Gara-gara Cicilan,2025,Drama
What's Up with Secretary Kim?,2025,Drama
Solata,2025,Drama
Kuncen,2025,Horor
Sosok Ketiga: Lintrik,2025,Horor
Pangku,2025,Drama
Pengin Hijrah,2025,Religi
Shutter,2025,Horor
Badik,2025,Drama
Si Paling Aktor,2025,Drama
Abadi Nan Jaya,2025,Horor
Tumbal Darah,2025,Horor
Maju Serem Mundur Horror,2025,Horor
Air Mata Di Ujung Sajadah 2,2025,Drama
Getih Ireng,2025,Horor
Menuju Pelaminan,2025,Drama
Jangan Panggil Mama Kafir,2025,Drama
Cristine: Tidak Seperti yang Kamu Lihat,2025,Horor
Jembatan Shiratal Mustaqim,2025,Horor
Yakin Nikah,2025,Drama
Di Balik Pintu Kematian,2025,Horor
Rangga & Cinta,2025,Percintaan
Tukar Takdir,2025,Drama
Rest Area,2025,Horor
Kang Solah: from Kang Mak x Nenek Gayung,2025,Horor
"Dilanjutkan Salah, Disudahi Perih",2025,Drama
Dia Bukan Ibu,2025,Horor
Janji Senja: Sagu Salempeng Bagi Dua,2025,Drama
Maryam: Janji dan Jiwa yang Terikat,2025,Horor
Jadi Tuh Barang,2025,Drama
Perempuan Pembawa Sial,2025,Horor
Lintrik: Ilmu Pemikat,2025,Horor
Mama: Pesan dari Neraka,2025,Horor
Cahaya untuk Ibu,2025,Drama
Gereja Setan,2025,Horor
Sukma,2025,Horor
Andai Ibu Tidak Menikah dengan Ayah,2025,Drama
Menjelang Magrib 2: Wanita yang Dirantai,2025,Horor
Agape: the Unconditional Love,2025,Drama
Siapa Dia,2025,Musikal atau Tari
Pencarian Terakhir,2025,Misteri
Panji Tengkorak,2025,Drama
Lebih dari Selamanya,2025,Percintaan
Cinta Pertamaku,2025,Drama
Labinak: Mereka Ada di Sini,2025,Horor
Hanya Namamu dalam Doaku,2025,Drama
The Sun Gazer: Cinta dari Langit,2025,Religi
Darah Nyai,2025,Horor
Panggilan dari Kubur,2025,Horor
Tinggal Meninggal,2025,Drama
"La Tahzan: Cinta, Dosa, Luka…",2025,Percintaan
Merah Putih: One For All,2025,Anak-anak
Sebelum Senja Berakhir,2025,Drama
Pamali: Tumbal,2025,Horor
Lyora: Penantian Buah Hati,2025,Dokudrama
Panggil Aku Ayah,2025,Keluarga
Jam Pasir Ajaib,2025,Fantasi
Ketika Hantu Yatim Piatu,2025,Horor
Sihir Pelakor,2025,Horor
Bertaut Rindu: Semua Impian Berhak Dirayakan,2025,Remaja
Rego Nyowo,2025,Horor
Kampung Jabang Mayit,2025,Horor
Doti: Tumbal Ilmu Hitam,2025,Horor
"Believe: Takdir, Mimpi, Keberanian",2025,Perang
Gak Nyangka..!!,2025,Komedi
A Normal Woman,2025,Misteri
Assalamu’alaikum Baitullah,2025,Religi
Arti Cinta,2025,Musikal atau Tari
Gerbang Setan,2025,Horor
Cyberbullying,2025,Remaja
Kitab Sijjin & Illiyyin,2025,Horor
Gamophobia,2025,Drama
Yang Tersisa Hanya Cinta,2025,Drama
Orang Ikan,2025,Monster
Selepas Tahlil,2025,Horor
Sore: Istri dari Masa Depan,2025,Drama
Hotel Sakura,2025,Horor
Selasih Ireng,2025,Horor
